112781083,AB,10052011,165714,RP,ROBINHOOD DR/LAKESIDE DR,RENO,NV,110019608
112780043,GTAR,10052011,030116,RP,437 E 7TH ST,RENO,NV,
112780076,ELECT,10052011,115005,RF,3101 YORI AV,RENO,NV,11028981
112780093,ALARMF,10052011,133528,RF,120 COURT ST,RENO,NV,11028991
112780116,ALARMF,10052011,164940,RF,95 N SIERRA ST,RENO,NV,11029011
112780091,ALARMF,10052011,131634,RF,2500 E 2ND ST,RENO,NV,11028990
112780094,ELECT,10052011,134400,RF,650 N MADDUX DR,RENO,NV,11028992
112780101,ALARMF,10052011,144531,RF,3250 PIERREMONT RD,RENO,NV,11028998
112780135,ALARMF,10052011,181730,RF,7636 WATER VIEW WY,RENO,NV,11029026
112780024,ALARMF,10052011,074207,RF,151 N SIERRA ST,RENO,NV,11028958
112780052,ELECT,10052011,093742,RF,650 N MADDUX DR,RENO,NV,11028964
112780065,ALARMF,10052011,104614,RF,10085 DOUBLE R BL,RENO,NV,11028973
112780013,ALARMF,10052011,053141,RF,12125 MOYA BL,RENO,NV,11028950
112780144,CARBON,10052011,224847,RF,1270 BERRUM LN,RENO,NV,11029034
112780145,ALARMF,10052011,232609,RF,14050 MT LOLA ST,RENO,NV,11029035
112790007,ASSIST,10062011,035358,RF,48 S PARK ST,RENO,NV,11029043
112790008,ASSIST,10062011,043221,RF,48 S PARK ST,RENO,NV,11029044
112790022,ALARMF,10062011,080600,RF,3855 RIGHT HAND CANYON RD,RENO,NV,11029053
112790073,ASSIST,10062011,112206,NL,25501 MT ROSE HY,INCLINE VILLA,NV,11001398
112790061,ALARMF,10062011,102124,RF,597 KUMLE LN,RENO,NV,11029064
112790004,ALARMF,10062011,021500,RF,7891 MORRO AV,SPARKS,NV,11029040
112790072,ALARMF,10062011,112126,RF,4385 NEIL RD,RENO,NV,11029067
112790079,ALARMF,10062011,121901,RF,4100 CAUGHLIN PW,RENO,NV,11029072
112790081,ALARMF,10062011,122708,RF,5575 ECHO AV,RENO,NV,11029074
