D31,111012,13:17,6.944,143,143,14.336,210,62.6,32,32.9,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D33,111012,13:09,7.616,257,257,13.216,302,55.6,30,24.3,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,91.8,68.5,-,--,32.0,31.6,91.8,68.0,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D33,111012,13:19,8.288,224,224,16.576,302,55.2,28,23.0,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,90.7,69.3,-,--,32.0,31.6,90.5,68.9,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D34,111012,13:20,-,-,-,-,-,55.2,28,22.8,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,87.3,68.5,-,--,32.0,32.0,90.7,70.3,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D39,111012,13:24,9.632,215,215,17.024,280,61.3,20,19.6,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,86.2,69.4,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D317,111012,13:19,3.808,319,319,6.944,323,61.7,28,28.6,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,85.3,74.3,62.2,--,32.0,32.0,87.6,75.4,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D320,111012,13:09,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,96.1,73.9,-,--,32.0,32.0,93.9,73.2,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D320,111012,13:19,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,97.0,74.8,-,--,32.0,32.0,94.6,73.9,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D321,111012,13:25,11.648,202,202,19.712,356,58.6,21,18.5,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,88.0,72.1,54.3,--,32.0,32.0,90.0,73.9,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D322,111012,13:15,9.856,169,169,17.472,222,59.0,13,7.5,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.2,--,-,-,189.9,69.4,--,-,0,-0.7,-,-,-,-,-,-,-,-,-,-,-,-
D322,111012,13:24,7.168,167,167,15.232,233,58.6,13,7.9,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.3,--,-,-,190.6,69.8,--,-,0,-0.7,-,-,-,-,-,-,-,-,-,-,-,-
D323,111012,13:26,7.168,226,226,12.32,277,59.4,14,10.2,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.6,--,32.0,32.0,-,71.4,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D324,111012,13:18,6.272,304,304,12.096,76,59.0,11,4.5,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,98.1,78.6,55.8,--,32.0,32.0,-,76.8,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D327,111012,11:32,-,-,-,-,-,65.7,21,24.8,-,-,--,-,-,-,-,-,-,-,-,-,-,-,57.6,52.2,-,--,32.0,32.0,56.5,52.0,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D331,111012,13:16,8.288,222,222,14.336,277,62.6,21,22.6,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,92.1,73.6,55.9,--,32.0,32.0,91.0,72.9,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D331,111012,13:26,9.632,227,227,16.352,277,62.2,22,23.0,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,90.5,74.3,55.9,--,32.0,32.0,89.1,73.6,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D333,111012,13:10,2.912,229,229,9.408,304,64.4,19,21.2,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D333,111012,13:20,4.032,263,263,9.408,346,64.8,19,22.1,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D336,111012,13:09,8.512,131,131,14.784,188,59.7,36,32.9,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,93.7,70.7,54.3,--,32.0,32.0,90.1,69.8,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D338,111012,13:20,6.272,222,222,12.992,309,63.9,23,25.2,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,93.7,74.1,56.1,--,32.0,32.0,96.4,75.0,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D339,111012,13:09,4.704,257,257,10.752,10,63.0,14,12.9,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,95.4,73.2,54.9,--,32.0,32.0,93.7,74.3,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D339,111012,13:21,5.824,268,268,12.992,55,63.3,16,16.7,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,96.3,74.1,54.9,--,32.0,32.0,94.5,75.2,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
D341,111012,13:08,9.632,292,292,15.68,344,63.9,18,19.8,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D341,111012,13:17,8.512,320,320,14.784,7,63.5,19,20.8,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D342,111012,13:13,6.944,246,246,14.112,337,62.2,20,21.4,-,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,91.8,72.5,55.0,--,32.0,32.0,92.7,72.0,--,-,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
