Last 365 - Daily (Wind)
Time,Value,Avg. Wind Speed
1/1,0.087890625,0
1/2,0.111328125,0
1/3,0.140625,0.002196954356299506
1/4,0.1484375,0
1/5,0.125,0
1/6,0.12890625,0
1/7,0.13671875,0
1/8,0.197265625,0
1/9,0.439453125,0.2614319979408641
1/10,0.193359375,0.1427031671338611
1/11,0.1484375,0
1/12,0.052734375,0.009988347689310709
1/13,29.546875,1.3181443493028255
1/14,0,0.0015834860312633023
1/15,13.224609375,0.37227934267785817
1/16,71.4375,3.2724145095053743
1/17,16.466796875,0.5052338959601815
1/18,3.259765625,0.23499415893174935
1/19,16.697265625,0.9555053330531451
1/20,0,0.001142144997914632
1/21,0,0
1/22,6.02734375,0.24846416636118815
1/23,0,0
1/24,0,0.0029068986574808755
1/25,0.556640625,0.004285338132277779
1/26,0.111328125,0.15638566395593068
1/27,0.236328125,0
1/28,3.73828125,0.1806949829613721
1/29,31.7421875,1.81348813741635
1/30,21.31640625,0.9250835970692011
1/31,1.3359375,0.4390135334843608
2/2,0,0
2/3,0.005859375,0
2/4,0.00390625,0
2/5,26.23046875,1.476971658005221
2/6,0,0.004963921176062689
2/7,58.92578125,4.627797734586879
2/8,1.232421875,0.41307717892858736
2/9,0.458984375,0.2869857059633242
2/10,0.16015625,0.0072668227884504525
2/11,0.166015625,0.061351110105929176
2/12,8.74609375,0.3750047635464442
2/13,0.3857656249999763,0.1662407388562645
2/14,70.14743750000002,6.891561810685327
2/15,154.677734375,21.318897522209795
2/16,107.501953125,3.0532199587172433
2/17,45.91015625,2.3004556820124944
2/18,0.056640625,0
2/19,1.3984375,0.5194383333774579
2/20,0.791015625,0.16919168920227978
2/21,0.287109375,0.007603739247177587
2/22,5.376953125,0.3286552487678325
2/23,22.80859375,0.5926801128151976
2/24,150.1015625,6.5379438001726875
2/25,40.87109375,1.018900245820738
2/26,0,0
2/27,0.03125,0.007584924499193828
2/28,8.47265625,0.7593568164398867
3/1,0.046875,0.03704931901560889
3/2,93.43359375,6.997885371613935
3/3,21.263671875,1.133012710950536
3/4,7.12890625,0.6947991456148639
3/5,35.328125,1.6649851348512197
3/6,28.181640625,0.8883731688379091
3/7,105.76953125,4.808112619976713
3/8,50.966796875,3.418330984481955
3/9,8.443359375,0.28154753118381853
3/10,95.28125,9.173804753058485
3/11,13.916015625,2.652203084195252
3/12,24.48828125,3.3953963161618623
3/13,66.96835937500009,4.572767503447121
3/14,28.83632812499991,1.167876119710441
3/15,78.44140625,4.484608052872761
3/16,121.91796875,6.75783914953628
3/17,28.044921875,1.0457039716697876
3/18,86.283203125,7.857224339858079
3/19,46.314453125,2.6693030885524216
3/20,36.41015625,1.4544625012928012
3/21,53.630859375,2.3395366253676237
3/22,35.10546875,0.7326122852024856
3/23,21.287109375,1.2824136406947406
3/24,75.287109375,5.295436430071001
3/25,55.6484375,3.1200284981968434
3/26,51.5078125,8.597849386568424
3/27,0.171875,6.741760793216282
3/28,3.703125,1.155163878704238
3/29,39.919921875,2.1166115204493203
3/30,6.423828125,0.3190241185918687
3/31,6.40625,0.20607547674860272
4/1,53.439453125,2.375960132382873
4/2,119.95703125,7.229594325929704
4/3,15.4765625,0.9005767006106327
4/4,0.236328125,0.03569061222014489
4/5,72.193359375,3.8248390528911824
4/6,101.98828125,8.9103744243082
4/7,92.345703125,4.190333130665315
4/8,19.68359375,1.304636060916702
4/9,34.71875,1.9700189146880025
4/10,27.201171875,1.3419595305081249
4/11,79.423828125,4.246637492004115
4/12,56.330078125,3.002111495797657
4/13,123.033203125,8.02637303447595
4/14,47.6484375,2.212714182838615
4/15,40.583984375,2.412567011480204
4/16,24.46875,1.2547883318530193
4/17,89.28515625,5.553934894142233
4/18,140.619140625,8.553525132436143
4/19,27.65234375,1.3223634300593403
4/20,115.166015625,8.060479462478748
4/21,102.458984375,5.821957527724982
4/22,2.30859375,1.1344378679538771
4/23,0,0.03852254480555438
4/24,21.734375,4.4914248483214
4/25,152.748046875,10.781075725662305
4/26,12.603515625,0.7540557927897561
4/27,35.259765625,1.9363102574379012
4/28,66.46789062500011,12.936333517494164
4/29,110.10632812499988,7.018674635216358
5/1,0.037109375,0.029565322134229872
5/2,47.61328125,2.803925489355539
5/3,41.302734375,2.169978430931078
5/4,23.85546875,1.962674652195384
5/5,55.23046875,2.7677966302048422
5/6,53.14406249999956,3.626458379890652
5/7,111.49265625000044,7.932743092047307
5/8,93.486328125,5.527644312895634
5/9,80.3515625,5.115462488529521
5/10,15.82421875,0.9010457937325272
5/11,33.6953125,2.062009870865311
5/12,64.1328125,2.6881004661832084
5/13,2.044921875,0.5736410277230399
5/16,10.9609375,0.40153175040295247
5/17,41.58203125,2.3758401906851563
5/18,48.31640625,2.608325752550113
5/19,18.88671875,0.24382673454775303
5/20,39.13671875,1.266039507221757
5/21,36.880859375,1.4712311615424347
5/22,0.5433593750003638,0.0028210213551154504
5/23,102.99765624999964,3.6975033509616657
5/24,25.59765625,1.0413989626699025
5/25,101.85546875,7.468375427296326
5/26,80.0859375,2.291764730645316
5/27,114.6328125,4.919203183718167
5/28,86.685546875,3.6650257693498554
5/29,67.97265625,2.674664167475429
5/30,51.625,1.543228699243258
5/31,115.890625,8.017180360054445
6/1,148.384765625,7.062878904024534
6/2,31.69921875,0.35353719233957115
6/3,34.302734375,1.8904764644791792
6/4,36.57421875,1.4316091636343609
6/5,31.392578125,1.2233880213622386
6/6,86.2734375,2.564268434914882
6/7,7.662109375,0.09148046387566461
6/8,48.21484375,2.132048686824081
6/9,0.935546875,0.1278557853093223
