stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1251,"US HWY 40/DEL CURTO",,  39.524334,-119.809174,,,,,,
1254,"2ND/PARK",,  39.522961,-119.807770,,,,,,
1258,"GOLDEN VALLEY/NORTH HILLS",,  39.513294,-119.803062,,,,,,
126,"VALLEY/6TH",,  39.603485,-119.836731,,,,,,
1261,"VIRGINIA/(RENO SPORTS COMPLEX)",,  39.521900,-119.803078,,,,,,
1263,"W. 7TH/(WESTCREEK APTS)",,  39.426388,-119.761658,,,,,,
1270,"W. 7TH/ROBB",,           ,           ,,,,,,
1271,"NORTH HILLS/GOLDEN VALLEY",,  39.675472,-119.849670,,,,,,
128,"LAKE/6TH",,  39.553707,-119.826523,,,,,,
1285,"W. 7TH/PAINTED CLIFF",,           ,           ,,,,,,
1286,"BARING/SPARKS",,           ,           ,,,,,,
1287,"W. 7TH/SIERRA HIGHLANDS",,           ,           ,,,,,,
1292,"STEAD/(JC PENNEY)",,           ,           ,,,,,,
1293,"4TH/ARLINGTON",,           ,           ,,,,,,
1295,"NORTHERN NEVADA MEDICAL CENTER",,           ,           ,,,,,,
1296,"VIRGINIA/(RENO SPORTS COMPLEX)",,           ,           ,,,,,,
131,"5TH/ARLINGTON (St. Mary's Hospita",,  39.481735,-119.792786,,,,,,
1313,"KIRMAN/KUENZLI",,           ,           ,,,,,,
132,"5TH/RALSTON",,  39.533398,-119.810875,,,,,,
1324,"LILLARD/PRATER",,           ,           ,,,,,,
1325,"Lillard/Boxington",,           ,           ,,,,,,
1326,"LILLARD/(OWENS DISTRIBUTION)",,           ,           ,,,,,,
133,"5th/WASHINGTON",,  39.535435,-119.881493,,,,,,
1330,"DANDINI/E. LEONESIO",,           ,           ,,,,,,
1332,"SUTRO/4TH",,           ,           ,,,,,,
1333,"DANDINI/E. LEONESIO",,           ,           ,,,,,,
1337,"LILLARD/LINCOLN",,           ,           ,,,,,,
1339,"WEDEKIND/MONTELLO",,           ,           ,,,,,,
134,"WASHINGTON/6TH",,  39.604321,-119.836403,,,,,,
1340,"WEDEKIND/HELENA",,           ,           ,,,,,,
1341,"WEDEKIND/WHITFIELD",,           ,           ,,,,,,
1342,"WEDEKIND/CLEAR ACRE",,           ,           ,,,,,,
1343,"WEDEKIND/(COMMUNITY GARDENS)",,           ,           ,,,,,,
1344,"WEDEKIND/SILVERADA",,           ,           ,,,,,,
1345,"WEDEKIND/PLATURA",,           ,           ,,,,,,
1346,"NORTHTOWNE/LUND (Wal Mart)",,           ,           ,,,,,,
1347,"EL RANCHO/McCARRAN",,           ,           ,,,,,,
1348,"EL RANCHO/DIVOT",,           ,           ,,,,,,
1349,"EL RANCHO/SULLIVAN",,           ,           ,,,,,,
1350,"EL RANCHO/MOORE PARK",,           ,           ,,,,,,
1351,"EL RANCHO/SUN VALLEY",,           ,           ,,,,,,
1352,"EL RANCHO/CLINTON",,           ,           ,,,,,,
1353,"EL RANCHO/WEEMS",,           ,           ,,,,,,
1354,"EL RANCHO/WILD CREEK",,           ,           ,,,,,,
1356,"EL RANCHO/McCARRAN",,           ,           ,,,,,,
1365,"7TH/WASHINGTON",,           ,           ,,,,,,
1366,"7TH/CANAL",,           ,           ,,,,,,
1367,"7TH/KEYSTONE",,           ,           ,,,,,,
1368,"7TH/STARGAZE",,           ,           ,,,,,,
1370,"ROBB/MAE ANNE (NE)",,           ,           ,,,,,,
1371,"7TH/Wal Mart",,           ,           ,,,,,,
1372,"7TH/CORDILLERA",,           ,           ,,,,,,
1373,"7TH/MONTEGO",,           ,           ,,,,,,
1374,"7TH/KEYSTONE",,           ,           ,,,,,,
1375,"7TH/CANAL",,           ,           ,,,,,,
1376,"7TH/WASHINGTON",,           ,           ,,,,,,
1377,"W. 7TH/MONTEGO",,           ,           ,,,,,,
1380,"KUENZLI/KIRMAN",,           ,           ,,,,,,
14,"VIRGINIA/CARANO",,  39.550121,-119.795616,,,,,,
1409,"VIRGINIA/KIETZKE",,           ,           ,,,,,,
1411,"VIRGINIA/MEADOWOOD MALL WAY",,           ,           ,,,,,,
1412,"VIRGINIA/(Barnes & Noble)",,           ,           ,,,,,,
1413,"PRATER/MARIAN",,           ,           ,,,,,,
1414,"PRATER/VISTA",,           ,           ,,,,,,
142,"KING'S ROW/VAN PETTEN",,  39.529205,-119.817680,,,,,,
1421,"MILL/(RUNWAY)",,           ,           ,,,,,,
1422,"MILL/ROCK",,           ,           ,,,,,,
1423,"MILL/OHM",,           ,           ,,,,,,
1424,"CAPITAL/McCARRAN",,           ,           ,,,,,,
1425,"McCARRAN/PERRO",,           ,           ,,,,,,
1426,"LONGLEY/MIRA LOMA",,           ,           ,,,,,,
1427,"LONGLEY/AIRCENTER",,           ,           ,,,,,,
1428,"LONGLEY/(MYLAN)",,           ,           ,,,,,,
143,"KING'S ROW/WYOMING",,  39.540730,-119.698570,,,,,,
1430,"McCARRAN/HOME GARDENS",,           ,           ,,,,,,
1431,"LONGLEY/AIRCENTER",,           ,           ,,,,,,
1432,"LONGLEY/(HSN RECEIVING)",,           ,           ,,,,,,
1433,"McCARRAN/PERRO",,           ,           ,,,,,,
1435,"ARLINGTON/2ND",,           ,           ,,,,,,
1436,"ARLINGTON/ISLAND",,           ,           ,,,,,,
1437,"ARLINGTON/RENO",,           ,           ,,,,,,
1438,"ARLINGTON/LA RUE",,           ,           ,,,,,,
1439,"PLUMB/ARLINGTON",,           ,           ,,,,,,
144,"KING'S ROW/POLSON",,  39.555576,-119.826515,,,,,,
1440,"PLUMAS/HILLCREST",,           ,           ,,,,,,
1441,"MOANA/GRANT",,           ,           ,,,,,,
1442,"MOANA/BAKER",,           ,           ,,,,,,
1443,"MOANA/VIRGINIA",,           ,           ,,,,,,
1444,"MOANA/YORI",,           ,           ,,,,,,
1445,"KIETZKE/PECKHAM",,           ,           ,,,,,,
1446,"KIETZKE/S. VIRGINIA",,           ,           ,,,,,,
1449,"BLUESTONE/CRAIGMONT",,           ,           ,,,,,,
145,"KING'S ROW/BRIDGEWOOD",,  39.530380,-119.819244,,,,,,
1450,"BLUESTONE/PORTMAN",,           ,           ,,,,,,
1451,"OFFENHAUSER/(COMSTOCK HILLS)",,           ,           ,,,,,,
1452,"OFFENHAUSER/(ENCLAVE APTS)",,           ,           ,,,,,,
1453,"OFFENHAUSER/GATEWAY",,           ,           ,,,,,,
1454,"GATEWAY/(MOUNTAIN GATE D'WAY)",,           ,           ,,,,,,
1455,"PROTOTYPE/GATEWAY",,           ,           ,,,,,,
1456,"PROTOTYPE/(CHARTER)",,           ,           ,,,,,,
1457,"PROTOTYPE/(IGT)",,           ,           ,,,,,,
1458,"DOUBLE DIAMOND/DOUBLE R",,           ,           ,,,,,,
1459,"DOUBLE DIAMOND/TECHNOLOGY",,           ,           ,,,,,,
146,"KING'S ROW/MARNE",,  39.522095,-119.719810,,,,,,
1460,"DOUBLE DIAMOND/TERRABYTE",,           ,           ,,,,,,
1461,"DOUBLE DIAMOND/TRADEMARK",,           ,           ,,,,,,
1462,"DOUBLE DIAMOND/(Sandhill)",,           ,           ,,,,,,
1463,"DOUBLE DIAMOND/SOUTH MEADOWS",,           ,           ,,,,,,
1464,"SOUTH MEADOWS/EVERGREEN",,           ,           ,,,,,,
1465,"SOUTH MEADOWS/TRUCKEE MEADOWS",,           ,           ,,,,,,
1466,"SOUTH MEADOWS/(VINTAGE AT SOUTH MEADOWS)",,           ,           ,,,,,,
1467,"SOUTH MEADOWS/PRARIE DOG",,           ,           ,,,,,,
1468,"SOUTH MEADOWS/DOUBLE R",,           ,           ,,,,,,
1469,"GATEWAY/(RESIDENCE INN)",,           ,           ,,,,,,
147,"KING'S ROW/SURF",,  39.528793,-119.798454,,,,,,
1470,"GATEWAY/DOUBLE EAGLE",,           ,           ,,,,,,
1471,"GATEWAY/PROTOTYPE",,           ,           ,,,,,,
1472,"GATEWAY/(Office drive way )",,           ,           ,,,,,,
1473,"OFFENHAUSER/(HILLVIEW TERRACE D'W",,           ,           ,,,,,,
1474,"OFFENHAUSER/(HILLVIEW TERRACE MID",,           ,           ,,,,,,
